year;variable;n;NAs;q25;median;mean;sd;q75;q99;skew;kurtosis
2009;pm2.5;365;0;18,618625;27,5495;34,72303737;24,4196543;46,20175;109,6284258;1,536299895;5,746362981
2009;pm10;365;0;30,46795833;49,04202083;62,22030366;43,76311662;83,42927083;194,7777285;1,351669624;5,004393502
2009;so2;365;0;6,092122616;7,856756785;8,261574235;3,813603066;10,25678196;18,68796505;0,642665831;3,939458369
2009;no2;365;0;12,88147002;16,59752877;18,84526757;9,126110273;24,73010816;48,59047213;1,140933077;5,011072771
2009;temp;365;0;6,017083854;9,809274507;11,04005518;6,047381915;17,12520833;21,886125;0,144207755;1,858282757
2010;pm2.5;365;0;18,5501875;27,52995833;34,90266219;24,03819756;47,15679167;114,0668934;1,717890799;7,006074769
2010;pm10;365;0;32,3653125;56,09920833;70,23795049;48,43537122;98,95493236;207,6837814;1,152853328;4,064020235
2010;so2;365;0;10,0216875;13,12470833;14,22602106;6,284530642;17,2828125;31,78503417;0,930709801;4,054898003
2010;no2;365;0;9,430833333;12,66901806;15,50715071;8,271676821;20,4344375;38,6475411;1,131917134;3,592560633
2010;temp;365;0;10,880625;15,55333333;14,44056133;4,360273915;17,83666667;20,90115833;-0,614120693;2,551713138
2011;pm2.5;365;0;16,22191667;22,69542324;28,70035018;23,8240962;29,44347972;133,761795;3,191507027;16,0482141
2011;pm10;365;0;34,74219076;46,4055789;59,96753268;42,92150891;73,07465387;251,0309605;2,293211967;9,987528275
2011;so2;365;0;6,903676086;9,592880432;14,98507854;11,5102055;20,80547738;50,5797348;1,481827806;4,757287141
2011;no2;365;0;3,913435372;5,007581665;5,32670111;2,074474998;6,589763152;11,27709894;0,568313731;3,579357126
2011;temp;365;0;6,298333333;14,65101043;11,97398021;7,050718072;17,83077137;22,48545833;-0,522268219;1,90184401
2012;pm2.5;366;0;14,63777173;20,87837966;26,4432719;18,46095492;30,47700926;91,22125365;1,738745893;5,957932105
2012;pm10;366;0;27,39992188;43,11328775;56,8922106;42,32603016;72,22894171;186,9339208;1,58624472;5,681767729
2012;so2;366;0;5,348197697;18,42128592;15,56811357;9,939235375;22,78138549;37,62874733;0,188544486;1,992176304
2012;no2;366;0;4,513382813;7,72984593;9,05873492;5,740687321;12,44823438;27,28109151;1,106641419;4,065052449
2012;temp;366;0;8,249622821;14,67641597;13,21111632;5,449868178;17,74567708;21,71557292;-0,361868418;1,861391562
2013;pm2.5;365;0;10,50390351;19,67572409;26,61075108;20,94738843;38,0313125;85,9295475;1,113079745;3,39472308
2013;pm10;365;0;21,24554167;49,1391875;62,60300572;49,77289611;100,2604375;196,3555918;0,832145495;2,784917151
2013;so2;365;0;9,811551799;11,36628723;12,87430574;4,588684349;16,31927918;25,81318679;0,624533033;3,364560534
2013;no2;365;0;7,469539118;15,23708333;16,10653179;9,690689645;21,91120859;38,17006167;0,511098823;2,455588186
2013;temp;365;0;9,371525773;13,03967065;13,12155692;4,69703269;17,3261143;21,50825648;-0,198816076;2,104594655
2014;pm2.5;365;0;9,360083333;13,55898314;19,80260457;16,27014701;24,72440897;73,65751455;1,644886078;5,404605823
2014;pm10;365;0;18,05925854;28,26022917;41,94339761;35,05775423;56,10525573;161,4395367;1,518483005;4,927249004
2014;so2;365;0;5,225059704;7,816882055;8,747062072;4,943988411;11,07886511;24,18099442;1,427352295;6,506684251
2014;no2;365;0;8,505770833;12,37300883;13,65084197;6,61348076;17,41530335;30,07000167;0,720029961;2,856525756
2014;temp;365;0;11,23166667;15,47375;14,65843756;4,304798789;18,26229167;21,618525;-0,472143053;2,261670259
2015;pm2.5;365;0;6,478271997;10,71576328;14,26137714;10,93236743;19,08962285;48,32371;1,664364944;6,717167439
2015;pm10;365;0;13,99738745;24,89850586;36,31141903;28,23448481;51,33068232;112,9740994;1,144009999;3,606956852
2015;so2;365;0;4,519645124;6,082243878;7,393501774;4,472155321;8,918545063;20,61559565;2,379502673;14,45471362
2015;no2;365;0;9,143929745;11,14714586;14,41580547;10,28745497;14,32201544;55,38602833;2,590240024;10,23181548
2015;temp;365;0;9,650226713;15,94625;14,49671371;6,763781465;19,81958333;24,81658343;-0,585829904;2,442358776
2016;pm2.5;366;0;7,840374398;19,33260291;23,61129747;18,61384875;32,84893725;74,26521783;1,060793351;3,704533489
2016;pm10;366;0;13,81855921;36,48487706;52,403593;45,89090404;84,07043331;175,9742568;1,19405689;4,484291326
2016;so2;366;0;4,357625;6,659042175;7,636259741;4,807361113;9,608458333;23,19969561;1,471650898;6,108111022
2016;no2;366;0;9,79985769;11,23363437;12,39495093;3,853623165;14,18614072;26,38459468;1,718111016;7,793416488
2016;temp;366;0;11,66274487;16,09366258;15,26084002;4,808400819;19,00329554;24,3496998;-0,385042817;2,460681211
2017;pm2.5;365;0;13,96403839;20,24849935;30,3986405;23,74214868;43,61916151;97,57562901;1,109717204;3,468873222
2017;pm10;365;0;28,41691667;47,7865612;64,77811574;49,13529634;91,71621274;213,5294106;1,163394535;3,70594729
2017;so2;365;0;4,061386764;6,6264375;7,320080104;4,318869922;10,00516667;20,76551387;0,923056839;3,752564873
2017;no2;365;0;11,87452031;18,63440365;27,02284311;18,66466463;42,99876985;70,08094758;0,770098719;2,262090278
2017;temp;365;0;11,17229167;14,45645833;14,87004161;4,450681638;18,85604167;22,73126322;-0,05582547;1,931303669
2018;pm2.5;365;0;8,074011641;16,23973483;14,71963426;6,910864858;20,08548952;29,94353067;-0,05667005;2,703228386
2018;pm10;365;0;17,00514758;29,88036064;29,6683217;15,80939352;36,68045235;79,56431554;1,053841322;5,576612941
2018;so2;365;0;2,907218082;4,862916667;5,459095107;3,461500861;7,058520833;15,38987172;1,13939182;4,338767733
2018;no2;365;0;10,10746875;12,34926688;15,45877653;9,458077805;16,25896434;46,08733404;2,196784449;7,821858363
2018;temp;365;0;11,8786235;16,75604167;15,72400852;4,752385433;19,61270833;23,93969199;-0,310535143;2,121276711
